PMID||SENTID||STRUCTURED ABSTRACT LABEL|NORMALIZED LABEL/PREDICTION|GOLD|SENTENCE
29952742|ab|1|29952742|PURPOSE|OBJECTIVE|BACKGROUND|Youth with early onset schizophrenia (EOS) are eligible for an individualized education plan (IEP) in school settings, yet often have declining academic performance over time.
29952742|ab|2|29952742|PURPOSE|OBJECTIVE|OBJECTIVE|This study examines the impact of IEP and comorbid conditions on educational outcomes for youth with EOS.
29952742|ab|3|29952742|METHOD|METHODS|METHODS|We used mixed models and logistic regression to answer the research questions using data from 129 youth with EOS who participated in a longitudinal study from 1998 to 2006.
29952742|ab|4|29952742|RESULTS|RESULTS|RESULTS|Not all children had an IEP in all waves.
29952742|ab|5|29952742|RESULTS|RESULTS|RESULTS|Of those that did, findings demonstrated that having an IEP did not improve absenteeism or academic performance.
29952742|ab|6|29952742|RESULTS|RESULTS|RESULTS|In addition, regardless of whether they had an IEP, rates of dropping out were equal.
29952742|ab|7|29952742|CONCLUSIONS|CONCLUSIONS|CONCLUSIONS|Social workers should consider more individualized approaches to IEPs for youth with EOS to target the specific complexities of the disorder as well as its implications for school success.
29953955|ab|1|29953955|BACKGROUND|BACKGROUND|BACKGROUND|The electrophysiological features and roles of persistent left superior vena cava (PLSVC) in supraventricular tachycardia (SVT) are not known.
29953955|ab|2|29953955|OBJECTIVE|OBJECTIVE|OBJECTIVE|The purpose of this study was to elucidate the electrophysiological features and roles of PLSVC in patients with SVT.
29953955|ab|3|29953955|METHODS|METHODS|METHODS|We included 37 patients with PLSVC (mean age 43.5 +/- 17.1 years; 35.1% men) and 510 patients without PLSVC (mean age 43.9 +/- 18.8 years; 48.2% men) who underwent an electrophysiology study for SVT.
29953955|ab|4|29953955|METHODS|METHODS|METHODS|The number of induced tachycardias, location of the slow pathway (SP) or accessory pathway (AP), and radiofrequency catheter ablation (RFCA) outcomes were compared between patients with and without PLSVC.
29953955|ab|5|29953955|METHODS|METHODS|METHODS|During RFCA of the left AP, a coronary sinus (CS) catheter was placed into the left superior vena cava (left superior vena cava group) or the great cardiac vein (great cardiac vein group).
29953955|ab|6|29953955|METHODS|METHODS|METHODS|The RFCA outcomes were compared between the groups.
29953955|ab|7|29953955|RESULTS|RESULTS|RESULTS|In patients with PLSVC, 40 tachycardias were induced: atrioventricular nodal reentrant tachycardia (AVNRT) (n = 19), atrioventricular reentrant tachycardia (n = 17), and focal atrial tachycardia (n = 4).
29953955|ab|8|29953955|RESULTS|RESULTS|RESULTS|Among patients with AVNRT, an SP in the CS was significantly more frequent in patients with PLSVC than in those without PLSVC (47.4% vs 3.8%; P < .001).
29953955|ab|9|29953955|RESULTS|RESULTS|RESULTS|In patients with the left AP, the number of RFCA attempts and recurrence were lower in the great cardiac vein group than in the left superior vena cava group.
29953955|ab|10|29953955|CONCLUSION|CONCLUSIONS|CONCLUSIONS|An SP in the CS is prevalent in patients with AVNRT and PLSVC.
29953955|ab|11|29953955|CONCLUSION|CONCLUSIONS|CONCLUSIONS|It is useful to place a CS catheter into the great cardiac vein in patients with a left AP and PLSVC.
29847145|ab|1|29847145|BACKGROUND|BACKGROUND|BACKGROUND|A lateral patellar dislocation (LPD) is the most common traumatic knee injury with hemarthrosis in children.
29847145|ab|2|29847145|BACKGROUND|BACKGROUND|BACKGROUND|The redislocation rate is high.
29847145|ab|3|29847145|BACKGROUND|BACKGROUND|BACKGROUND|Varying operative and nonoperative treatments have been advocated with no consensus on the best treatment.
29847145|ab|4|29847145|PURPOSE|OBJECTIVE|OBJECTIVE|(1) To evaluate if arthroscopic-assisted repair of the medial patellofemoral ligament (MPFL) in patients with an acute first-time traumatic LPD would reduce the recurrence rate and offer better objective/subjective knee function compared with a knee brace without repair.
29847145|ab|5|29847145|PURPOSE|OBJECTIVE|OBJECTIVE|(2) To study the presence of anatomic patellar instability risk factors (APIFs) and their association with a redislocation.
29847145|ab|6|29847145|STUDY DESIGN|METHODS|METHODS|Randomized controlled trial; Level of evidence, 1.
29847145|ab|7|29847145|METHODS|METHODS|METHODS|This was a prospective series of 74 skeletally immature patients aged 9 to 14 years (38 girls and 36 boys; mean age, 13.1 years) with a first-time traumatic LPD, with clinical examinations, radiographs, magnetic resonance imaging, and diagnostic arthroscopic surgery performed within 2 weeks of the index injury.
29847145|ab|8|29847145|METHODS|METHODS|METHODS|The child was randomized to either (1) a knee brace (KB group) for 4 weeks and physical therapy or (2) arthroscopic-assisted repair (R group) of the MPFL with anchors, 4 weeks with a soft cast splint, and physical therapy.
29847145|ab|9|29847145|METHODS|METHODS|METHODS|The follow-up time was 2 years.
29847145|ab|10|29847145|RESULTS|RESULTS|RESULTS|The redislocation rate was significantly lower in the R group than in the KB group at final follow-up: 8 patients (22%) versus 16 patients (43%), respectively ( P = .047).
29847145|ab|11|29847145|RESULTS|RESULTS|RESULTS|The Knee injury and Osteoarthritis Outcome Score for children sport/play and quality of life subscales had lower scores in the R group compared with the KB group; the significant differences were among those with redislocations.
29847145|ab|12|29847145|RESULTS|RESULTS|RESULTS|The mean Kujala score was excellent in the KB group (95.9) and good in the R group (90.9).
29847145|ab|13|29847145|RESULTS|RESULTS|RESULTS|An impaired Limb Symmetry Index (median, 83%) for concentric quadriceps torque at 90 deg/s was found only in the R group.
29847145|ab|14|29847145|RESULTS|RESULTS|RESULTS|Eighty-one percent of the study patients had >/=2 APIFs.
29847145|ab|15|29847145|RESULTS|RESULTS|RESULTS|Trochlear dysplasia (trochlear depth <3 mm) had the highest odds ratio for redislocations (2.35 [95% CI, 0.69-8.03]), with no significant association between APIFs and a redislocation.
29847145|ab|16|29847145|CONCLUSION|CONCLUSIONS|CONCLUSIONS|Operative repair of an MPFL injury in the acute phase in skeletally immature children with a primary traumatic LPD significantly reduced the redislocation rate but did not improve subjective or objective knee function compared with a knee brace without repair.
29847145|ab|17|29847145|CONCLUSION|CONCLUSIONS|CONCLUSIONS|The majority of the patients in both groups were satisfied with their knee function.
29847145|ab|18|29847145|CONCLUSION|CONCLUSIONS|CONCLUSIONS|There was a high representation of APIFs, which needs to be considered when evaluating the risk of redislocations.
29847145|ab|19|29847145|CONCLUSION|CONCLUSIONS|NONE|Registration: ISRCTN 39959729 (Current Controlled Trials).
27997286|ab|1|27997286||BACKGROUND|BACKGROUND|Kounis syndrome (KS) is a complex of cardiovascular symptoms and signs following either allergy or hypersensitivity and anaphylactic or anaphylactoid insults.
27997286|ab|2|27997286||OBJECTIVE|OBJECTIVE|We report the case of 57-year-old man, with hypertension and history of allergy, referred for facial rash and palpitations appeared after consumption of canned tuna fish.
27997286|ab|3|27997286||METHODS|METHODS|Suddenly, the patient collapsed: electrocardiogram showed ST-elevation in inferior leads.
27997286|ab|4|27997286||RESULTS|METHODS|The patient was transferred from the spoke emergency room for coronary angio, which did not show any sign of coronary atherosclerosis.
27997286|ab|5|27997286||METHODS|METHODS|A transient coronary spasm was therefore hypothesized and the final diagnosis was KS.
27997286|ab|6|27997286||RESULTS|RESULTS|To the best of our knowledge, this is one of the first cases of KS following the ingestion of tuna fish.
27997286|ab|7|27997286||RESULTS|BACKGROUND|KS secondary to food allergy has also been reported, and shellfish ingestion has been considered as one of the most active KS inducer foods.
27997286|ab|8|27997286||CONCLUSIONS|BACKGROUND|Canned tuna fish too is well known as an allergy inducer.
27997286|ab|9|27997286||RESULTS|CONCLUSIONS|Tuna fish allergy should be considered, however, within the context of scombroid food poisoning, also called histamine fish poisoning.
27997286|ab|10|27997286||CONCLUSIONS|BACKGROUND|Fish with high levels of free histidine, the enzyme substrate converted to histamine by bacterial histidine decarboxylase, are those most often implicated in scombroid poisoning.
27997286|ab|11|27997286||CONCLUSIONS|BACKGROUND|Inflammatory mediators such as histamine constitute the pathophysiologic basis of Kounis hypersensitivity-associated acute coronary syndrome.
27997286|ab|12|27997286||CONCLUSIONS|CONCLUSIONS|Patients with coronary risk factors, allergic reaction after food ingestion, and suspected scombroid poisoning should be therefore carefully monitored for a prompt diagnosis of possible coronary complications.
27343861|ab|1|27343861||BACKGROUND|BACKGROUND|Pinna and Sirigu (2011) demonstrated a new principle of grouping, called the accentuation principle, stating that, all else being equal, elements tend to group in the same oriented direction of the discontinuous element placed within a whole set of continuous/homogeneous components.
27343861|ab|2|27343861||BACKGROUND|BACKGROUND|The discontinuous element behaves like an accent, i.e. a visual emphasis within the wholeness of components as shown in the next section.
27343861|ab|3|27343861||BACKGROUND|OBJECTIVE|In this work, the accentuation principle has been extended to new visual domains.
27343861|ab|4|27343861||BACKGROUND|OBJECTIVE|In particular, it is shown how this principle affects shape perception.
